Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
V7 Bugs,Chrome 75.0.3770.142,,,2019-07-31 13:11:12,2019-07-31 13:14:12,"3m - 0,713s",INCOMPLETE
,,,,,,,
Test Cases/V7 Bugs/V7 715,Chrome 75.0.3770.142,"mapchart doesn't resize in ""edit campaign"" workflow",Bug,2019-07-31 13:11:12,2019-07-31 13:11:32,"19,804s",PASSED
"openBrowser("""")",Chrome 75.0.3770.142,,,2019-07-31 13:11:13,2019-07-31 13:11:17,"4,438s",PASSED
"navigateToUrl(""https://nostromo.profect.de:8444/v7-snapshot/#/main"")",Chrome 75.0.3770.142,,,2019-07-31 13:11:17,2019-07-31 13:11:28,"11,257s",PASSED
waitForPageLoad(3),Chrome 75.0.3770.142,,,2019-07-31 13:11:28,2019-07-31 13:11:28,"0,136s",PASSED
"setText(findTestObject(""Page_BusinessRadar-Client 700/Input fields/input_Login_username""), ""demo"")",Chrome 75.0.3770.142,,,2019-07-31 13:11:28,2019-07-31 13:11:29,"0,199s",PASSED
"setEncryptedText(findTestObject(""Page_BusinessRadar-Client 700/Input fields/input_Nutzername_password""), ""W3BsrpIC7rG/OMTzTgbg+A=="")",Chrome 75.0.3770.142,,,2019-07-31 13:11:29,2019-07-31 13:11:29,"0,291s",PASSED
"click(findTestObject(""Page_BusinessRadar-Client 700/Buttons/button_ANMELDEN""))",Chrome 75.0.3770.142,,,2019-07-31 13:11:29,2019-07-31 13:11:29,"0,129s",PASSED
"click(findTestObject(""Page_BusinessRadar-Client 700/Buttons/button_KAMPAGNEN BEARBEITUNG (1)""))",Chrome 75.0.3770.142,,,2019-07-31 13:11:29,2019-07-31 13:11:30,"0,662s",PASSED
"click(findTestObject(""Page_BusinessRadar-Client 700/Buttons/a_Kampagnenbearbeitung_nav-link tab-button-a v7-highlight-font active""))",Chrome 75.0.3770.142,,,2019-07-31 13:11:30,2019-07-31 13:11:31,"1,597s",PASSED
closeBrowser(),Chrome 75.0.3770.142,,,2019-07-31 13:11:31,2019-07-31 13:11:32,"0,593s",PASSED
,,,,,,,
Test Cases/V7 Bugs/V7 732,Chrome 75.0.3770.142,Condition drag from dragpool to setbuilder does not work,Bug,2019-07-31 13:11:32,2019-07-31 13:11:49,"17,162s",PASSED
"openBrowser("""")",Chrome 75.0.3770.142,,,2019-07-31 13:11:32,2019-07-31 13:11:35,"2,232s",PASSED
"navigateToUrl(""https://nostromo.profect.de:8444/v7-snapshot/#/main"")",Chrome 75.0.3770.142,,,2019-07-31 13:11:35,2019-07-31 13:11:46,"11,379s",PASSED
"setText(findTestObject(""Page_BusinessRadar-Client 700/Input fields/input_Login_username""), ""demo"")",Chrome 75.0.3770.142,,,2019-07-31 13:11:46,2019-07-31 13:11:46,"0,197s",PASSED
"setEncryptedText(findTestObject(""Page_BusinessRadar-Client 700/Input fields/input_Nutzername_password""), ""W3BsrpIC7rG/OMTzTgbg+A=="")",Chrome 75.0.3770.142,,,2019-07-31 13:11:46,2019-07-31 13:11:46,"0,168s",PASSED
"click(findTestObject(""Page_BusinessRadar-Client 700/Buttons/button_ANMELDEN""))",Chrome 75.0.3770.142,,,2019-07-31 13:11:46,2019-07-31 13:11:46,"0,094s",PASSED
"click(findTestObject(""Page_BusinessRadar-Client 700/Buttons/button_SELEKTIEREN""))",Chrome 75.0.3770.142,,,2019-07-31 13:11:46,2019-07-31 13:11:47,"0,662s",PASSED
