Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
V7 Bugs,Chrome 75.0.3770.142,,,2019-07-31 12:59:39,2019-07-31 13:02:43,"3m - 3,909s",INCOMPLETE
,,,,,,,
Test Cases/V7 Bugs/V7 715,Chrome 75.0.3770.142,"mapchart doesn't resize in ""edit campaign"" workflow",Bug,2019-07-31 12:59:39,2019-07-31 13:00:03,"23,562s",PASSED
"openBrowser("""")",Chrome 75.0.3770.142,,,2019-07-31 12:59:40,2019-07-31 12:59:46,"5,736s",PASSED
"navigateToUrl(""https://nostromo.profect.de:8444/v7-snapshot/#/main"")",Chrome 75.0.3770.142,,,2019-07-31 12:59:46,2019-07-31 12:59:59,"12,913s",PASSED
waitForPageLoad(3),Chrome 75.0.3770.142,,,2019-07-31 12:59:59,2019-07-31 12:59:59,"0,139s",PASSED
"setText(findTestObject(""Page_BusinessRadar-Client 700/Input fields/input_Login_username""), ""demo"")",Chrome 75.0.3770.142,,,2019-07-31 12:59:59,2019-07-31 12:59:59,"0,220s",PASSED
"setEncryptedText(findTestObject(""Page_BusinessRadar-Client 700/Input fields/input_Nutzername_password""), ""W3BsrpIC7rG/OMTzTgbg+A=="")",Chrome 75.0.3770.142,,,2019-07-31 12:59:59,2019-07-31 12:59:59,"0,326s",PASSED
"click(findTestObject(""Page_BusinessRadar-Client 700/Buttons/button_ANMELDEN""))",Chrome 75.0.3770.142,,,2019-07-31 12:59:59,2019-07-31 12:59:59,"0,120s",PASSED
"click(findTestObject(""Page_BusinessRadar-Client 700/Buttons/button_KAMPAGNEN BEARBEITUNG (1)""))",Chrome 75.0.3770.142,,,2019-07-31 12:59:59,2019-07-31 13:00:00,"0,706s",PASSED
"click(findTestObject(""Page_BusinessRadar-Client 700/Buttons/a_Kampagnenbearbeitung_nav-link tab-button-a v7-highlight-font active""))",Chrome 75.0.3770.142,,,2019-07-31 13:00:00,2019-07-31 13:00:02,"2,101s",PASSED
closeBrowser(),Chrome 75.0.3770.142,,,2019-07-31 13:00:02,2019-07-31 13:00:03,"0,598s",PASSED
,,,,,,,
Test Cases/V7 Bugs/V7 732,Chrome 75.0.3770.142,Condition drag from dragpool to setbuilder does not work,Bug,2019-07-31 13:00:03,2019-07-31 13:00:20,"17,422s",PASSED
