Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
V7 Bugs,Chrome 75.0.3770.142,,,2019-07-31 13:21:37,2019-07-31 13:23:26,"1m - 48,861s",INCOMPLETE
,,,,,,,
Test Cases/V7 Bugs/V7 715,Chrome 75.0.3770.142,"mapchart doesn't resize in ""edit campaign"" workflow",Bug,2019-07-31 13:21:38,2019-07-31 13:21:57,"19,408s",PASSED
"openBrowser("""")",Chrome 75.0.3770.142,,,2019-07-31 13:21:38,2019-07-31 13:21:43,"4,332s",PASSED
"navigateToUrl(""https://nostromo.profect.de:8444/v7-snapshot/#/main"")",Chrome 75.0.3770.142,,,2019-07-31 13:21:43,2019-07-31 13:21:54,"11,031s",PASSED
waitForPageLoad(3),Chrome 75.0.3770.142,,,2019-07-31 13:21:54,2019-07-31 13:21:54,"0,102s",PASSED
"setText(findTestObject(""Page_BusinessRadar-Client 700/Input fields/input_Login_username""), ""demo"")",Chrome 75.0.3770.142,,,2019-07-31 13:21:54,2019-07-31 13:21:54,"0,194s",PASSED
"setEncryptedText(findTestObject(""Page_BusinessRadar-Client 700/Input fields/input_Nutzername_password""), ""W3BsrpIC7rG/OMTzTgbg+A=="")",Chrome 75.0.3770.142,,,2019-07-31 13:21:54,2019-07-31 13:21:54,"0,261s",PASSED
"click(findTestObject(""Page_BusinessRadar-Client 700/Buttons/button_ANMELDEN""))",Chrome 75.0.3770.142,,,2019-07-31 13:21:54,2019-07-31 13:21:54,"0,115s",PASSED
"click(findTestObject(""Page_BusinessRadar-Client 700/Buttons/button_KAMPAGNEN BEARBEITUNG (1)""))",Chrome 75.0.3770.142,,,2019-07-31 13:21:54,2019-07-31 13:21:55,"0,643s",PASSED
"click(findTestObject(""Page_BusinessRadar-Client 700/Buttons/a_Kampagnenbearbeitung_nav-link tab-button-a v7-highlight-font active""))",Chrome 75.0.3770.142,,,2019-07-31 13:21:55,2019-07-31 13:21:57,"1,625s",PASSED
closeBrowser(),Chrome 75.0.3770.142,,,2019-07-31 13:21:57,2019-07-31 13:21:57,"0,596s",PASSED
,,,,,,,
Test Cases/V7 Bugs/V7 732,Chrome 75.0.3770.142,Condition drag from dragpool to setbuilder does not work,Bug,2019-07-31 13:21:57,2019-07-31 13:22:14,"16,719s",PASSED
"openBrowser("""")",Chrome 75.0.3770.142,,,2019-07-31 13:21:58,2019-07-31 13:22:00,"2,217s",PASSED
