Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
V7 Bugs,Chrome 75.0.3770.142,,,2019-08-06 11:29:11,2019-08-06 11:31:43,"2m - 32,120s",INCOMPLETE
,,,,,,,
Test Cases/V7 Bugs/V7 715,Chrome 75.0.3770.142,"mapchart doesn't resize in ""edit campaign"" workflow",Bug,2019-08-06 11:29:12,2019-08-06 11:29:58,"46,273s",FAILED
"openBrowser("""")",Chrome 75.0.3770.142,,,2019-08-06 11:29:12,2019-08-06 11:29:16,"3,965s",PASSED
"navigateToUrl(""https://nostromo.profect.de:8444/v7-snapshot/#/main"")",Chrome 75.0.3770.142,,,2019-08-06 11:29:16,2019-08-06 11:29:26,"10,272s",PASSED
waitForPageLoad(3),Chrome 75.0.3770.142,,,2019-08-06 11:29:26,2019-08-06 11:29:26,"0,109s",PASSED
"setText(findTestObject(""Page_BusinessRadar-Client 700/Input fields/input_Login_username""), ""demo"")",Chrome 75.0.3770.142,,,2019-08-06 11:29:26,2019-08-06 11:29:26,"0,170s",PASSED
"setEncryptedText(findTestObject(""Page_BusinessRadar-Client 700/Input fields/input_Nutzername_password""), ""W3BsrpIC7rG/OMTzTgbg+A=="")",Chrome 75.0.3770.142,,,2019-08-06 11:29:26,2019-08-06 11:29:27,"0,243s",PASSED
"click(findTestObject(""Page_BusinessRadar-Client 700/Buttons/button_ANMELDEN""))",Chrome 75.0.3770.142,,,2019-08-06 11:29:27,2019-08-06 11:29:27,"0,101s",PASSED
"click(findTestObject(""Page_BusinessRadar-Client 700/Buttons/button_KAMPAGNEN BEARBEITUNG (1)""))",Chrome 75.0.3770.142,,,2019-08-06 11:29:27,2019-08-06 11:29:58,"31,010s",FAILED
,,,,,,,
Test Cases/V7 Bugs/V7 732,Chrome 75.0.3770.142,Condition drag from dragpool to setbuilder does not work,Bug,2019-08-06 11:29:58,2019-08-06 11:30:43,"45,177s",ERROR
"openBrowser("""")",Chrome 75.0.3770.142,,,2019-08-06 11:29:58,2019-08-06 11:30:01,"2,778s",PASSED
